date,close,high,low,open,volume,sma,std,upper_band,lower_band,signal,position_pct,cash,shares,portfolio_value,equity_pct,risk_budget,max_position_pct,signal_strength
2024-11-22,98997.6640625,99655.5,97222.6640625,98496.4296875,78473580551,73627.658828125,11233.117341362076,90477.33484016811,56777.98281608189,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-11-23,97777.28125,99014.6796875,97232.890625,99006.7421875,44414644677,74341.854921875,11611.944924124318,91759.77230806148,56923.93753568852,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-11-24,98013.8203125,98647.1796875,95788.078125,97778.09375,51712020623,75060.33234375,11945.000015319705,92977.83236672955,57142.83232077044,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-11-25,93102.296875,98935.03125,92642.9140625,98033.4453125,80909462490,75665.99921875,12078.643442996796,93783.9643832452,57548.03405425481,hold,0.0,10000,0,10000,0.0,0.02,1,0.9
2024-11-26,91985.3203125,94991.75,90770.8125,93087.28125,91656519855,76260.972421875,12136.1840331291,94465.24847156866,58056.69637218135,hold,0.0,10000,0,10000,0.0,0.02,1,0.8
2024-11-27,95962.53125,97361.1796875,91778.6640625,91978.140625,71133452438,76937.583671875,12274.657580933956,95349.57004327595,58525.59730047407,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-11-28,95652.46875,96650.203125,94677.3515625,95954.9453125,52260008261,77638.991015625,12322.900726210404,96123.3421049406,59154.63992630939,hold,0.0,10000,0,10000,0.0,0.02,1,0.9
2024-11-29,97461.5234375,98693.171875,95407.8828125,95653.953125,54968682476,78382.731484375,12375.576657135773,96946.09647007866,59819.36649867135,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-11-30,96449.0546875,97499.34375,96144.21875,97468.8125,31634227866,79062.81078125,12416.12529749234,97686.9987274885,60438.62283501148,hold,0.0,10000,0,10000,0.0,0.02,1,0.9
2024-12-01,97279.7890625,97888.125,95770.1875,96461.3359375,36590695296,79744.54609375,12462.693879765638,98438.58691339847,61050.505274101546,hold,0.0,10000,0,10000,0.0,0.02,1,0.8
2024-12-02,95865.3046875,98152.6015625,94482.8671875,97276.0078125,72680784305,80404.8246875,12423.906706930955,99040.68474789643,61768.964627103574,hold,0.0,10000,0,10000,0.0,0.02,1,0.7000000000000001
2024-12-03,96002.1640625,96297.203125,93629.5625,95854.59375,67067810961,81003.94546875,12439.631276608223,99663.39238366233,62344.498553837664,hold,0.0,10000,0,10000,0.0,0.02,1,0.6000000000000001
2024-12-04,98768.53125,99207.328125,94660.5234375,95988.53125,77199817112,81638.49390625,12521.788372976025,100421.17646571404,62855.811346785966,hold,0.0,10000,0,10000,0.0,0.02,1,0.5000000000000001
2024-12-05,96593.5703125,103900.46875,91998.78125,98741.5390625,149218945580,82218.1109375,12530.04402915829,101013.17698123743,63423.04489376256,hold,0.0,10000,0,10000,0.0,0.02,1,0.40000000000000013
2024-12-06,99920.7109375,102039.8828125,96514.875,97074.2265625,94534772658,82868.5284375,12589.067813172944,101752.13015725942,63984.926717740585,hold,0.0,10000,0,10000,0.0,0.02,1,0.30000000000000016
2024-12-07,99923.3359375,100563.3828125,99030.8828125,99916.7109375,44177510897,83498.619375,12639.400296747266,102457.7198201209,64539.518929879094,hold,0.0,10000,0,10000,0.0,0.02,1,0.20000000000000015
2024-12-08,101236.015625,101399.9921875,98771.515625,99921.9140625,44125751925,84156.085,12690.889156706553,103192.41873505984,65119.751264940176,hold,0.0,10000,0,10000,0.0,0.02,1,0.10000000000000014
2024-12-09,97432.71875,101272.5078125,94355.9140625,101237.0625,110676473908,84724.7053125,12634.841666171313,103676.96781175697,65772.44281324302,hold,0.0,10000,0,10000,0.0,0.02,1,1.3877787807814457e-16
2024-12-10,96675.4296875,98270.15625,94321.2578125,97441.234375,104823780634,85310.856875,12492.2038796848,104049.1626945272,66572.5510554728,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-11,101173.03125,101913.359375,95747.2265625,96656.0625,85391409936,85987.089375,12415.64517401887,104610.5571360283,67363.62161397169,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-12,100043.0,102524.9140625,99339.953125,101167.8046875,72073983533,86659.30546875,12243.986468281302,105025.28517117194,68293.32576632805,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-13,101459.2578125,101888.8046875,99233.28125,100046.6484375,56894751583,87325.26953125,12122.270724109496,105508.67561741424,69141.86344508576,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-14,101372.96875,102618.8828125,100634.0546875,101451.4375,40422968793,88019.880625,11906.057489604622,105878.96685940694,70160.79439059307,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
