date,close,high,low,open,volume,short_ma,long_ma,signal,position_pct,cash,shares,portfolio_value,equity_pct,risk_budget,max_position_pct,signal_strength
2025-01-01,94419.7578125,94929.8671875,92788.125,93425.1015625,24519888919,97936.378125,96601.5740625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-02,96886.875,97739.8203125,94201.5703125,94416.2890625,46009564411,97707.758984375,96727.62828125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-03,98107.4296875,98956.9140625,96034.6171875,96881.7265625,35611391163,97544.48203125,96944.76828125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-04,98236.2265625,98734.4296875,97562.9765625,98106.9921875,22342608078,97241.35859375,97088.17265625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-05,98314.9609375,98813.3046875,97291.765625,98233.90625,20525254825,96855.620703125,97243.30234375,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2025-01-06,102078.0859375,102482.875,97926.1484375,98314.953125,51823432705,96652.494921875,97487.94703125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-07,96922.703125,102712.484375,96132.875,102248.8515625,58685738547,96496.553125,97615.54828125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-08,95043.5234375,97258.3203125,92525.84375,96924.1640625,63875859171,96374.181640625,97669.54296875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-09,92484.0390625,95349.71875,91220.84375,95043.484375,62777261693,96110.587109375,97632.43390625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-10,94701.453125,95770.609375,92250.09375,92494.4921875,62058693684,95984.4234375,97556.3684375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-11,94566.59375,94977.6875,93840.046875,94700.8359375,18860894100,95957.50625,97467.74703125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-12,94488.4375,95367.5390625,93712.5078125,94565.7265625,20885130965,95947.616015625,97401.97015625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-13,94516.5234375,95837.0,89260.1015625,94488.890625,72978998252,95739.6375,97332.02421875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-14,96534.046875,97352.6640625,94322.15625,94519.0078125,53769675818,95601.380078125,97400.65921875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-15,100504.4921875,100697.234375,96501.640625,96534.046875,57805923627,95836.82890625,97571.04265625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-16,99756.90625,100781.5859375,97364.4453125,100505.296875,54103781805,96116.43125,97646.93015625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-17,104462.0390625,105884.2265625,99948.90625,100025.765625,71888972663,96581.33671875,97823.1215625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-18,104408.0703125,104913.203125,102226.6171875,104124.953125,50445655726,97125.22890625,97962.0525,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-19,101089.609375,106299.796875,99570.53125,104411.2890625,76789928525,97547.548828125,98054.86359375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-20,102016.6640625,109114.8828125,99471.359375,101083.75,126279678351,97976.921875,98149.60109375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-21,106146.265625,107180.921875,100103.953125,102052.578125,88733878242,98563.247265625,98355.2203125,buy,0.0,10000,0,10000,0.0,0.02,1,1.0
2025-01-22,103653.0703125,106294.34375,103360.265625,106136.3828125,53878181052,98901.55703125,98508.2384375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-23,103960.171875,106820.328125,101257.8046875,103657.671875,104104515428,99194.194140625,98612.07125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-24,104819.484375,107098.546875,102772.125,103965.671875,52388229265,99523.35703125,98776.58953125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-25,104714.6484375,105243.7890625,104120.375,104824.03125,23888996502,99843.34140625,98872.46828125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-26,102682.5,105438.6484375,102507.7109375,104713.2109375,22543395879,99873.562109375,98927.6515625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-27,102087.6875,103214.109375,97795.9375,102680.3046875,89006608428,100131.811328125,98944.685,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-28,101332.4765625,103730.8203125,100238.1875,102095.4140625,47180685494,100446.258984375,99022.68015625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-29,103703.2109375,104750.8046875,101283.8203125,101317.5234375,47432049818,101007.217578125,99163.23578125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
