date,close,high,low,open,volume,tr,atr,rolling_high,rolling_low,upper_threshold,lower_threshold,signal,position_pct,cash,shares,portfolio_value,equity_pct,risk_budget,max_position_pct,signal_strength
2024-12-29,93530.2265625,95174.875,92881.7890625,95174.0546875,29635885267,2293.0859375,4112.580357142857,108268.4453125,92175.1796875,114437.31584821429,86006.30915178571,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-30,92643.2109375,94903.3203125,91317.1328125,93527.1953125,56188003691,3586.1875,4050.3370535714284,108268.4453125,92175.1796875,114343.95089285714,86099.67410714286,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-31,93429.203125,96090.6015625,91914.03125,92643.25,43625106843,4176.5703125,4136.041294642857,108268.4453125,91317.1328125,114472.50725446429,85113.07087053571,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-01,94419.7578125,94929.8671875,92788.125,93425.1015625,24519888919,2141.7421875,3829.8035714285716,108268.4453125,91317.1328125,114013.15066964286,85572.42745535714,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-02,96886.875,97739.8203125,94201.5703125,94416.2890625,46009564411,3538.25,3571.073660714286,108268.4453125,91317.1328125,113625.05580357143,85960.52232142857,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-03,98107.4296875,98956.9140625,96034.6171875,96881.7265625,35611391163,2922.296875,3356.6852678571427,108268.4453125,91317.1328125,113303.47321428571,86282.10491071429,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-04,98236.2265625,98734.4296875,97562.9765625,98106.9921875,22342608078,1171.453125,3220.3191964285716,108268.4453125,91317.1328125,113098.92410714286,86486.65401785714,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-05,98314.9609375,98813.3046875,97291.765625,98233.90625,20525254825,1521.5390625,3103.4235491071427,108268.4453125,91317.1328125,112923.58063616071,86661.99748883929,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-06,102078.0859375,102482.875,97926.1484375,98314.953125,51823432705,4556.7265625,3142.2555803571427,108268.4453125,91317.1328125,112981.82868303571,86603.74944196429,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-07,96922.703125,102712.484375,96132.875,102248.8515625,58685738547,6579.609375,3186.7957589285716,106470.609375,91317.1328125,111250.80301339286,86536.93917410714,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-08,95043.5234375,97258.3203125,92525.84375,96924.1640625,63875859171,4732.4765625,3390.1668526785716,102748.1484375,91317.1328125,107833.39871651786,86231.88253348214,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-09,92484.0390625,95349.71875,91220.84375,95043.484375,62777261693,4128.875,3346.0373883928573,102712.484375,91317.1328125,107731.54045758929,86298.07672991071,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-10,94701.453125,95770.609375,92250.09375,92494.4921875,62058693684,3520.515625,3312.9241071428573,102712.484375,91220.84375,107681.87053571429,86251.45758928571,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-11,94566.59375,94977.6875,93840.046875,94700.8359375,18860894100,1137.640625,3286.2120535714284,102712.484375,91220.84375,107641.80245535714,86291.52566964286,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-12,94488.4375,95367.5390625,93712.5078125,94565.7265625,20885130965,1655.03125,3240.63671875,102712.484375,91220.84375,107573.439453125,86359.888671875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-13,94516.5234375,95837.0,89260.1015625,94488.890625,72978998252,6576.8984375,3454.2589285714284,102712.484375,91220.84375,107893.87276785714,86039.45535714286,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-14,96534.046875,97352.6640625,94322.15625,94519.0078125,53769675818,3030.5078125,3372.3973214285716,102712.484375,89260.1015625,107771.08035714286,84201.50558035714,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-15,100504.4921875,100697.234375,96501.640625,96534.046875,57805923627,4195.59375,3519.101004464286,102712.484375,89260.1015625,107991.13588169643,83981.45005580357,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-16,99756.90625,100781.5859375,97364.4453125,100505.296875,54103781805,3417.140625,3510.4503348214284,102712.484375,89260.1015625,107978.15987723214,83994.42606026786,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-17,104462.0390625,105884.2265625,99948.90625,100025.765625,71888972663,6127.3203125,3739.3805803571427,102712.484375,89260.1015625,108321.55524553571,83651.03069196429,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-18,104408.0703125,104913.203125,102226.6171875,104124.953125,50445655726,2686.5859375,3847.6043526785716,105884.2265625,89260.1015625,111655.63309151786,83488.69503348214,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-19,101089.609375,106299.796875,99570.53125,104411.2890625,76789928525,6729.265625,4219.584821428572,105884.2265625,89260.1015625,112213.60379464286,82930.72433035714,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-20,102016.6640625,109114.8828125,99471.359375,101083.75,126279678351,9643.5234375,4582.927455357143,106299.796875,89260.1015625,113174.18805803571,82385.71037946429,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-21,106146.265625,107180.921875,100103.953125,102052.578125,88733878242,7076.96875,4618.453125,109114.8828125,89260.1015625,116042.5625,82332.421875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
